Date,TCS.NS
2024-12-18,4299.2998046875
2024-12-19,4224.19775390625
2024-12-20,4123.73193359375
2024-12-23,4111.8662109375
2024-12-24,4132.82958984375
2024-12-26,4122.5458984375
2024-12-27,4118.34326171875
2024-12-30,4112.3603515625
2024-12-31,4049.07568359375
2025-01-01,4066.528564453125
2025-01-02,4129.12158203125
2025-01-03,4054.118408203125
2025-01-06,4049.273193359375
2025-01-07,3983.318115234375
2025-01-08,4062.523681640625
2025-01-09,3993.75048828125
2025-01-10,4218.017578125
2025-01-13,4243.18359375
2025-01-14,4185.78173828125
2025-01-15,4202.14697265625
2025-01-16,4159.330078125
2025-01-17,4087.964599609375
2025-01-20,4041.87451171875
2025-01-21,4000.294189453125
2025-01-22,4119.98046875
2025-01-23,4108.9287109375
2025-01-24,4115.767578125
2025-01-27,4029.335693359375
2025-01-28,4004.704833984375
2025-01-29,4063.680419921875
2025-01-30,4063.92822265625
2025-01-31,4076.16943359375
2025-02-01,4037.265380859375
2025-02-03,4032.804931640625
2025-02-04,4070.866455078125
2025-02-05,4055.057373046875
2025-02-06,4046.78076171875
2025-02-07,3993.900634765625
2025-02-10,4001.38427734375
2025-02-11,3928.631103515625
2025-02-12,3915.348876953125
2025-02-13,3875.701416015625
2025-02-14,3900.183837890625
2025-02-17,3870.10107421875
2025-02-18,3839.076904296875
2025-02-19,3750.761962890625
2025-02-20,3746.103271484375
2025-02-21,3752.645263671875
2025-02-24,3643.218017578125
2025-02-25,3597.573486328125
2025-02-27,3580.723388671875
2025-02-28,3452.5625
2025-03-03,3462.276123046875
2025-03-04,3500.9326171875
2025-03-05,3515.80029296875
2025-03-06,3569.869873046875
2025-03-07,3579.385009765625
2025-03-10,3558.02490234375
2025-03-11,3543.801513671875
2025-03-12,3475.31005859375
2025-03-13,3480.117431640625
2025-03-17,3466.885009765625
2025-03-18,3466.885009765625
2025-03-19,3466.29052734375
2025-03-20,3531.75830078125
2025-03-21,3546.576904296875
2025-03-24,3596.978759765625
2025-03-25,3625.525146484375
2025-03-26,3603.7685546875
2025-03-27,3619.03271484375
2025-03-28,3574.379638671875
2025-04-01,3519.517333984375
2025-04-02,3512.7275390625
2025-04-03,3373.16796875
2025-04-04,3270.33203125
2025-04-07,3245.20556640625
2025-04-08,3263.93896484375
2025-04-09,3217.997314453125
2025-04-11,3203.0302734375
2025-04-15,3219.583251953125
2025-04-16,3244.957763671875
2025-04-17,3269.83642578125
2025-04-21,3292.336669921875
2025-04-22,3285.199951171875
2025-04-23,3382.931396484375
2025-04-24,3371.6318359375
2025-04-25,3417.623046875
2025-04-28,3413.16259765625
2025-04-29,3441.9072265625
2025-04-30,3423.272705078125
2025-05-02,3400.772705078125
2025-05-05,3423.867431640625
2025-05-06,3429.517333984375
2025-05-07,3414.74853515625
2025-05-08,3418.514892578125
2025-05-09,3409.990966796875
2025-05-12,3588.50390625
2025-05-13,3484.03271484375
2025-05-14,3517.435791015625
2025-05-15,3548.36083984375
2025-05-16,3529.9248046875
2025-05-19,3487.79931640625
2025-05-20,3467.47998046875
2025-05-21,3494.737548828125
2025-05-22,3446.367431640625
2025-05-23,3483.63623046875
2025-05-26,3506.13623046875
2025-05-27,3467.876220703125
2025-05-28,3466.885009765625
2025-05-29,3467.28173828125
2025-05-30,3432.88720703125
2025-06-02,3419.4072265625
2025-06-03,3375.199951171875
2025-06-04,3380.89990234375
2025-06-05,3371.10009765625
2025-06-06,3384.199951171875
2025-06-09,3421.89990234375
2025-06-10,3462.89990234375
2025-06-11,3471.89990234375
2025-06-12,3434.199951171875
2025-06-13,3445.699951171875
2025-06-16,3496.300048828125
2025-06-17,3515.300048828125
2025-06-18,3451.39990234375
